MJD,MAG,DMAG,INST
58846.30700060185,16.5899,0.0137338169858201,lcogt
58847.303851400466,16.4401,0.0128193775589925,lcogt
58848.300897002315,16.3168,0.0120495702827943,lcogt
58849.326,16.293,0.009,Swope
58850.296378796294,16.147,0.0207237279464868,lcogt
58850.351,16.17,0.008,Swope
58851.317,16.123,0.009,Swope
58852.302,16.05,0.007,Swope
58852.337937199074,16.0223,0.0105625801772105,lcogt
58853.359,16.036,0.008,Swope
58853.420052395835,15.9458,0.0117778918317329,lcogt
58854.505705497686,16.0107,0.0157234092995126,lcogt
58855.50568739583,15.982,0.0095400151467385,lcogt
58856.66813579861,15.9017,0.0225796368438467,lcogt
58857.671566400466,16.0239,0.0320433596865248,lcogt
58859.019926099536,16.1304,0.0143414922515058,lcogt
58861.01465,16.1696,0.026182056832877,lcogt
58862.01229450232,16.226,0.0213923724724491,lcogt
58866.33959239583,16.7362,0.013863615834262,lcogt
58867.4219612963,16.817,0.0123716068479402,lcogt
58869.328,17.019,0.011,Swope
58869.63625319445,16.9934,0.0141451447854025,lcogt
58871.304,17.13,0.013,Swope
58872.325,17.204,0.011,Swope
58872.32925890046,17.0979,0.0149487256981992,lcogt
58874.327,17.371,0.009,Swope
58875.3066037963,17.2302,0.0148752445358051,lcogt
58876.287,17.447,0.008,Swope
58876.33826420139,17.319,0.0146794115685882,lcogt
58877.4247662037,17.3401,0.0164467329582504,lcogt

