MJD,MAG,DMAG,INST
58849.333,16.781,0.012,Swope
58850.355,16.691,0.011,Swope
58851.322,16.577,0.013,Swope
58852.308,16.606,0.014,Swope
58853.365,16.57,0.014,Swope
58869.334,17.772,0.022,Swope
58871.311,17.97,0.02,Swope
58872.33,18.053,0.023,Swope
58874.339,18.267,0.047,Swope
58876.301,18.234,0.018,Swope
