MJD,COLOR,DCOLOR,INST,MJD_TEST
58849.3285,0.4710000000000001,0.012727922061357855,Swope,0.004999999997380655
58850.3525,0.4690000000000012,0.01131370849898476,Swope,0.0029999999969732016
58851.319,0.47600000000000087,0.012727922061357855,Swope,0.004000000000814907
58852.3045,0.402000000000001,0.011401754250991379,Swope,0.004999999997380655
58853.3615,0.47100000000000186,0.012041594578792296,Swope,0.005000000004656613
58869.33,0.7169999999999987,0.015556349186104044,Swope,0.004000000000814907
58871.3065,0.6899999999999977,0.016401219466856725,Swope,0.005000000004656613
58872.327,0.7280000000000015,0.015556349186104044,Swope,0.004000000000814907
58874.332500000004,0.6920000000000002,0.025632011235952594,Swope,0.011000000005878974
58876.292499999996,0.7579999999999991,0.012041594578792296,Swope,0.011000000005878974
