MJD,MAG,DMAG,INST
58846.30898790509,15.5513,0.00957633672131468,lcogt
58847.30584060185,15.4272,0.00869203779329105,lcogt
58848.302878599534,15.3211,0.0087,lcogt
58849.300067303244,15.1923,0.00801640542886898,lcogt
58849.325,15.181,0.007,Swope
58850.29836209491,15.133,0.00832560202027457,lcogt
58850.35,15.028,0.007,Swope
58851.316,14.977,0.007,Swope
58851.339666597225,15.0634,0.00810346401238384,lcogt
58852.301,14.942,0.007,Swope
58852.339913599535,15.0087,0.00813971307848133,lcogt
58853.358,14.878,0.006,Swope
58853.422016805554,14.8585,0.00880366491865746,lcogt
58854.507699305555,14.8799,0.0128444110803104,lcogt
58855.50769859954,14.839,0.00740778138176337,lcogt
58856.67012969907,14.7259,0.0131604864651729,lcogt
58857.67425849537,14.7888,0.0144493909906266,lcogt
58859.02260560185,14.763,0.00839694521835173,lcogt
58859.680702199075,14.7258,0.0119566297927133,lcogt
58861.01732760417,14.7403,0.0125079264868323,lcogt
58862.01497239583,14.7834,0.011710445935147,lcogt
58863.01182620371,14.7992,0.0116328277301781,lcogt
58866.342268402776,15.0773,0.00769785223292835,lcogt
58867.42464810185,15.0893,0.00756245489242746,lcogt
58869.327,15.086,0.007,Swope
58869.63896060185,15.2158,0.00805633222999151,lcogt
58871.25835159722,15.2652,0.00906637794270678,lcogt
58871.303,15.145,0.007,Swope
58872.324,15.166,0.006,Swope
58872.33193340278,15.304,0.00751777866128021,lcogt
58873.33060920139,15.3534,0.0840269153307439,lcogt
58874.323,15.327,0.054,Swope
58874.32760909722,15.3418,0.0183222148224498,lcogt
58875.309290300924,15.3925,0.00764102637084836,lcogt
58876.34096540509,15.4733,0.0083945602028933,lcogt
58877.42747959491,15.4339,0.00817056399522089,lcogt
58878.61334849537,15.5178,0.00963866567528929,lcogt
58882.09852599537,15.5625,0.00832631545162685,lcogt
