210930A 2021-09-30  09:10:17.121574 349.0 (0.4) 8.6                 
210930B 2021-09-30  09:32:38.522910 349.0 (0.4) 8.6                 
210929  2021-09-29  09:21:04.308910 349.0 (0.4) 10.6                    
210814A 2021-08-14  12:10:27.199523 349.0 (0.4) 14.9                    
210814B 2021-08-14  12:22:49.261030 349.0 (0.4) 14.1                    
210713  2021-07-13  14:13:37.983754 348.2 (0.4) 8.6                 
210712  2021-07-12  14:23:04.986480 349.0 (0.4) 34.1                    
210711  2021-07-11  14:24:21.397196 348.2 (0.4) 12.3                    
210711B 2021-07-11  14:32:49.259253 348.2 (0.4) 9.2                 
210626  2021-06-26  15:52:16.177712 348.2 (0.4) 10.0                    
210625  2021-06-25  15:38:55.118361 349.0 (0.4) 12.7                    
210523  2021-05-23  17:55:23.829196 348.2 (0.4) 16.6                    
210521  2021-05-21  17:56:31.369943 349.0 (0.4) 11.5                    
210402  2021-04-02  21:21:44.648294 349.0 (0.4) 12.2                    
210320  2021-03-20  21:41:56.460856 349.0 (0.4) 14.4                    
210304  2021-03-04  23:02:53.149570 348.2 (0.4) 20.8                    
210303A 2021-03-03  23:06:06.046594 349.0 (0.4) 16.1                    
210302G 2021-03-02  23:15:02.000983 349.0 (0.4) 30.2                    
210302H 2021-03-02  23:28:27.385996 349.0 (0.4) 9.8                 
210301  2021-03-01  23:21:50.427561 349.0 (0.4) 12.5                    
210214  2021-02-14  00:12:42.939778 347.0 (0.8) 11.0                    
210131  2021-01-31  01:23:59.433226 348.2 (0.4) 15.2                    
210130  2021-01-30  01:03:21.275666 349.0 (0.4) 17.2                    
210129A 2021-01-29  01:11:05.295124 351.8 (0.8) 8.6                 
210129B 2021-01-29  01:25:15.325877 349.8 (0.4) 10.1                    
210127  2021-01-27  01:27:25.718269 349.0 (0.4) 13.6                    
210111  2021-01-11  02:30:09.675430 349.0 (0.4) 11.3                    
201123  2020-11-23  05:52:02.519931 348.6 (0.8) 26.0                    
200919  2020-09-19  09:45:15.585285 355.8 (6.5) 10.9                    
200904  2020-09-04  10:52:03.043901 347.8 (1.6) 15.8                    
200903  2020-09-03  11:10:32.495964 352.6 (3.2) 11.1                    
200801  2020-08-01  13:27:31.367029 346.1 (3.2) 8.3                 
200717A 2020-07-17  13:57:48.291353 352.6 (3.2) 17.7                    
200717B 2020-07-17  14:06:11.859491 346.1 (3.2) 11.5                    
200702  2020-07-02  15:25:42.342735 355.8 (6.5) 16.2                    
200614  2020-06-14  16:26:52.101007 352.6 (3.2) 15.4                    
200613  2020-06-13  16:37:44.085575 346.1 (3.2) 19.3                    
200513  2020-05-13  18:31:04.052001 352.6 (3.2) 12.2                    
200512  2020-05-12  18:38:20.239628 352.6 (3.2) 22.7                    
200424  2020-04-24  19:53:26.542656 351.0 (1.6) 9.2                 
200423  2020-04-23  19:39:04.299594 347.8 (1.6) 12.6                    
200324  2020-03-24  21:35:53.718858 346.1 (3.2) 13.0                    
200221  2020-02-21  00:09:48.615083 342.9 (6.5) 24.7                    
200220  2020-02-20  00:10:09.912647 352.6 (3.2) 11.8                    
200219  2020-02-19  23:53:36.995061 346.1 (3.2) 8.8                 
200204A 2020-02-04  00:26:54.804782 370.4 (1.6) 9.2                 
200204B 2020-02-04  00:57:31.674004 346.1 (3.2) 12.7                    
200204C 2020-02-04  00:59:50.321966 351.0 (1.6) 51.8                    
200204D 2020-02-04  01:03:26.181819 347.8 (1.6) 10.0                    
200204E 2020-02-04  01:17:21.372605 347.8 (1.6) 9.2                 
200203  2020-02-03  01:07:23.999841 351.0 (1.6) 9.5                 
200120  2020-01-20  01:49:14.068615 346.1 (3.2) 16.7                    
200104  2020-01-04  03:16:14.907550 351.0 (1.6) 9.3                 
200104A 2020-01-04  03:18:20.060339 346.1 (3.2) 17.8                    
191219  2019-12-19  04:07:38.821993 352.6 (3.2) 10.1                    
191219A 2019-12-19  04:11:18.252252 351.0 (1.6) 17.8                    
191217  2019-12-18  04:09:27.633710 355.8 (6.5) 12.9                    
191218  2019-12-18  04:09:27.633710 355.8 (6.5) 12.9                    
191030  2019-10-30  07:33:56.995676 346.1 (3.2) 8.1                 
191030A 2019-10-30  07:41:52.755579 346.1 (3.2) 12.7                    
190825  2019-08-25  11:48:27.640875 347.8 (1.6) 51.5                    
190825A 2019-08-25  11:52:03.013140 346.1 (3.2) 10.5                    
190825B 2019-08-25  11:53:44.856087 347.8 (1.6) 10.3                    
190810  2019-08-10  12:49:43.517432 346.1 (3.2) 9.2                 
190809  2019-08-09  12:50:49.264130 352.6 (3.2) 16.8                    
190605  2019-06-05  16:56:04.897646 352.6 (3.2) 23.0                    
190605A 2019-06-05  17:02:31.035758 349.4 (12.9)    25.5                    
190604A 2019-06-04  17:11:39.871905 352.6 (3.2) 42.2                    
190603  2019-06-03  17:09:23.395479 347.8 (1.6) 9.3                 
190519  2019-05-19  17:50:25.678653 351.0 (1.6) 18.8                    
190519A 2019-05-19  18:09:01.515561 349.4 (12.9)    21.7                    
190519B 2019-05-19  18:10:50.137548 346.1 (3.2) 16.4                    
190518  2019-05-18  18:21:05.993431 351.0 (1.6) 16.0                    
190518A 2019-05-18  18:13:42.634524 351.0 (1.6) 9.3                 
190126  2019-01-26  01:32:45.3289   349.8 (0.5) 11.6
181226  2018-12-26  03:43:30.1074   348.8 (0.2) 16.7
181225  2018-12-25  03:53:03.9260   348.9 (0.7) 16.2
181223  2018-12-23  03:51:28.96040  349.7 (0.7) 31.8
181222  2018-12-22  03:59:23.2082   349.1 (0.1) 24.0
181120  2018-11-20  05:56:06.23243  349.9 (0.6) 13.4
181104A 2018-11-04  06:57:18.58524  349.5 (0.3) 17.9
181104B 2018-11-04  07:07:01.591    349.6 (0.2) 10.6
181019  2018-09-19  08:13:22.7507   349.0 (0.6) 16.2
180916  2018-09-16  10:15:19.8021   349.2 (0.4) 18.7
