# %ECSV 1.0
# ---
# datatype:
# - {name: MJD, datatype: string}
# - {name: Instrument, datatype: string}
# - {name: Filter, datatype: string}
# - {name: Magnitude, datatype: float64}
# - {name: Uncertainty, datatype: float64}
# - {name: Use, datatype: uint8}
# - {name: Exposure, datatype: float64}
# meta: !!omap
# - {name: "Sun"}
# - {ra: 210}
# - {dec: 54}
# - {distance: 0.00001}
# - {dist_error: 0.000000001}
# - {host_ebv: 0.000}
# - {host_rv: 3.1}
# - {magsystem: ab}
# - {host_galaxy: "MW"}
# - {discovery_date: "0000-00-00T00:00:00.000"}
# schema: astropy-2.0
MJD            Instrument         Filter       Magnitude Uncertainty Use Exposure
-------------- WFC3/UVIS          F606W        4.7300   0.0100      1   1.0
-------------- WFC3/UVIS          F625W        4.6400   0.0100      1   1.0
-------------- WFC3/UVIS          F775W        4.5200   0.0100      1   1.0
-------------- WFC3/UVIS          F814W        4.5200   0.0100      1   1.0
-------------- WFPC2              F218W       10.8300   0.0100      1   1.0
-------------- WFPC2              F300W        7.4000   0.0100      1   1.0
-------------- WFPC2              F450W        5.2000   0.0100      1   1.0
-------------- WFPC2              F555W        4.8200   0.0100      1   1.0
-------------- WFPC2              F606W        4.7000   0.0100      1   1.0
-------------- WFPC2              F702W        4.5700   0.0100      1   1.0
-------------- WFPC2              F814W        4.5200   0.0100      1   1.0
