MJD,COLOR,DCOLOR,INST,MJD_TEST
58846.30848910301,0.24629999999999974,0.013874027569527141,lcogt,0.000997604161966592
58847.30534300348,0.21080000000000076,0.012690816246404325,lcogt,0.0009951967585948296
58848.30238329861,0.2406000000000006,0.0121287661779754,lcogt,0.0009906018458423205
58849.29956649884,0.3089000000000013,0.012841392136369057,lcogt,0.0010016087981057353
58849.32399999999,0.23800000000000132,0.009899494936611667,Swope,0.0020000000004074536
58850.29786945023,0.23710000000000164,0.012007809667045856,lcogt,0.0009852893563220277
58850.3495,0.27399999999999913,0.009219544457292887,Swope,0.000999999996565748
58851.315,0.2789999999999999,0.009899494936611667,Swope,0.0020000000004074536
58851.339173096065,0.22920000000000051,0.011784370072260967,lcogt,0.0009870023204712197
58852.3,0.28500000000000014,0.009899494936611667,Swope,0.0020000000004074536
58852.339419247684,0.2408999999999999,0.01177590442386486,lcogt,0.00098870370129589
58853.3575,0.2629999999999999,0.009219544457292887,Swope,0.000999999996565748
58853.42152400463,0.29499999999999993,0.012947199117955981,lcogt,0.0009856018514255993
58854.5072008507,0.2939000000000007,0.018954746555942124,lcogt,0.0009969097227440216
58855.507195949074,0.31020000000000003,0.010598865316627057,lcogt,0.0010053009318653494
58856.66963125,0.38010000000000055,0.01835262283707699,lcogt,0.0009968981466954574
58857.67359119792,0.28940000000000055,0.022044421062935665,lcogt,0.0013345949046197347
58859.021936001154,0.3561999999999994,0.014790493196644914,lcogt,0.0013392013861448504
58859.67755554977,0.376100000000001,0.01761788568472386,lcogt,0.0062932986111263745
58861.016655300926,0.45640000000000036,0.022885600822351217,lcogt,0.0013446064840536565
58862.01430579861,0.41659999999999897,0.01740524759950289,lcogt,0.001333194442850072
58866.34160060185,0.4894000000000016,0.011718087941298276,lcogt,0.0013356018462218344
58867.42397730324,0.5113000000000003,0.011116972609483215,lcogt,0.0013415972207440063
58869.326499999996,0.5779999999999994,0.009899494936611667,Swope,0.000999999996565748
58869.638282853004,0.5306999999999995,0.011898345179057466,lcogt,0.0013554976831073873
58871.301999999996,0.6029999999999998,0.009899494936611667,Swope,0.0020000000004074536
58872.3235,0.6150000000000002,0.009219544457292887,Swope,0.0010000000038417056
58872.33126310185,0.5359999999999996,0.011607239335862773,lcogt,0.0013406018479145132
58873.32993304977,0.6041999999999987,0.12103382750289275,lcogt,0.0013523032394004986
58874.322,0.5660000000000007,0.05474486277268398,Swope,0.001999999993131496
58875.30862195023,0.5482999999999993,0.011016707902091262,lcogt,0.0013367013889364898
58876.34028715278,0.5829000000000004,0.01249042297122079,lcogt,0.0013565046319854446
58877.42679599537,0.6020000000000021,0.011727937585099948,lcogt,0.0013671990745933726
58878.61267214699,0.559800000000001,0.01353456689369852,lcogt,0.0013526967595680617
