MJD,COLOR,DCOLOR,INST,MJD_TEST
58846.30749545139,0.7923000000000009,0.01701176489962167,lcogt,0.000989699074125383
58847.30434840278,0.8021000000000011,0.015806382793036505,lcogt,0.0009940046293195337
58848.3013925,0.7551000000000005,0.01471764631318471,lcogt,0.0009909953732858412
58849.3245,0.8739999999999988,0.011401754250991379,Swope,0.0030000000042491592
58850.29687780092,0.7768999999999977,0.0224576210672457,lcogt,0.0009980092581827193
58850.350000000006,0.8680000000000021,0.01,Swope,0.0020000000004074536
58851.3155,0.8670000000000009,0.011401754250991379,Swope,0.0030000000042491592
58852.3005,0.8230000000000004,0.009899494936611667,Swope,0.0030000000042491592
58852.33843104745,0.7727000000000022,0.013564110586396743,lcogt,0.0009876967596937902
58853.358,0.8950000000000014,0.01063014581273465,Swope,0.001999999993131496
58853.42054179977,0.7923000000000009,0.015127596801871758,lcogt,0.0009788078677956946
58854.50620394676,0.8369,0.021012594342441356,lcogt,0.0009968981466954574
58855.50619034722,0.8327999999999989,0.012184933729815684,lcogt,0.0010059027772513218
58856.66863429977,0.7957000000000001,0.02595111483154433,lcogt,0.0009970023165806197
58857.67224515046,0.9457000000000004,0.0361102270831963,lcogt,0.00135749999753898
58859.020596250004,1.0112000000000023,0.018812984877472273,lcogt,0.0013403009288595058
58861.015316498844,0.9728999999999992,0.03244691973053841,lcogt,0.0013329976864042692
58862.01296685185,1.0259999999999998,0.024968814549353326,lcogt,0.001344699070614297
58866.34026259838,1.1694999999999993,0.01643947991878089,lcogt,0.001340405098744668
58867.42263390047,1.2164000000000001,0.014813946536963095,lcogt,0.0013452083294396289
58869.327000000005,1.3549999999999986,0.013038404810405297,Swope,0.0020000000004074536
58869.6369291493,1.246900000000002,0.016635842329139804,lcogt,0.0013519097192329355
58871.3025,1.3819999999999997,0.0147648230602334,Swope,0.0029999999969732016
58872.32399999999,1.423,0.013038404810405297,Swope,0.0020000000004074536
58872.329925850696,1.2578999999999994,0.01736880562963387,lcogt,0.0013339004653971642
58874.324,1.477999999999998,0.012727922061357855,Swope,0.005999999993946403
58875.30727869792,1.2894000000000005,0.016859877490658093,lcogt,0.0013498032349161804
58876.33893655092,1.2627999999999986,0.017350133976427994,lcogt,0.001344699070614297
58877.42543929977,1.304199999999998,0.018473803858436954,lcogt,0.0013461921334965155
