MJD,MAG,DMAG,INST
58849.331,15.822,0.009,Swope
58850.354,15.701,0.008,Swope
58851.321,15.647,0.009,Swope
58852.307,15.648,0.009,Swope
58853.364,15.565,0.009,Swope
58869.332,16.302,0.011,Swope
58871.309,16.44,0.01,Swope
58872.329,16.476,0.011,Swope
58874.338,16.679,0.024,Swope
58876.298,16.689,0.009,Swope
