MJD,COLOR,DCOLOR,INST,MJD_TEST
58849.3295,0.48799999999999955,0.015,Swope,0.006999999997788109
58850.353,0.5209999999999972,0.013601470508735444,Swope,0.004000000000814907
58851.3195,0.4540000000000006,0.015811388300841896,Swope,0.004999999997380655
58852.305,0.5560000000000009,0.01565247584249853,Swope,0.005999999993946403
58853.361999999994,0.5339999999999989,0.0161245154965971,Swope,0.006000000001222361
58869.331000000006,0.7530000000000001,0.024596747752497684,Swope,0.006000000001222361
58871.307499999995,0.8399999999999999,0.023853720883753128,Swope,0.0070000000050640665
58872.3275,0.8490000000000002,0.025495097567963924,Swope,0.005000000004656613
58874.333,0.8960000000000008,0.0478539444560216,Swope,0.012000000002444722
58876.293999999994,0.7870000000000026,0.01969771560359221,Swope,0.014000000002852175

