MJD,MAG,DMAG,INST
58849.327,18.413,0.031,Swope
58850.352,18.454,0.032,Swope
58850.352,18.455,0.032,Swope
58851.319,18.569,0.032,Swope
58852.303,18.622,0.027,Swope
58853.360,18.743,0.032,Swope
58869.329,19.946,0.186,Swope
58874.329,20.772,0.268,Swope
58876.290,20.672,0.252,Swope
