MJD,COLOR,DCOLOR,INST,MJD_TEST
58846.30799425347,1.0386000000000006,0.016742877709641217,lcogt,0.001987303236091975
58847.30484600116,1.012900000000002,0.015488316951818891,lcogt,0.0019892013879143633
58848.301887800924,0.9957000000000011,0.014862104292461396,lcogt,0.0019815972191281617
58849.3255,1.112,0.011401754250991379,Swope,0.0010000000038417056
58850.2973704456,1.0139999999999993,0.022333574478797566,lcogt,0.001983298614504747
58850.3505,1.1420000000000012,0.01063014581273465,Swope,0.0010000000038417056
58851.3165,1.1460000000000008,0.011401754250991379,Swope,0.0010000000038417056
58852.3015,1.1080000000000005,0.009899494936611667,Swope,0.0010000000038417056
58852.33892539931,1.013600000000002,0.013335030146197654,lcogt,0.00197640046098968
58853.3585,1.1580000000000013,0.01,Swope,0.000999999996565748
58853.421034600695,1.0873000000000008,0.014704531682444044,lcogt,0.001964409719221294
58854.50670240162,1.1308000000000007,0.020302819902663763,lcogt,0.001993807869439479
58855.50669299769,1.142999999999999,0.01207837381438412,lcogt,0.0020112037091166712
58856.66913274884,1.1758000000000006,0.026135003424526244,lcogt,0.001993900463276077
58857.67291244792,1.235100000000001,0.03515055902827157,lcogt,0.002692094902158715
58859.02126585069,1.3674000000000017,0.016618877489168783,lcogt,0.002679502315004356
58861.015988802086,1.4292999999999996,0.029016345824379782,lcogt,0.0026776041704579256
58862.013633449074,1.4425999999999988,0.02438786878757549,lcogt,0.002677893513464369
58866.3409303993,1.658900000000001,0.015857388593334024,lcogt,0.0026760069449665025
58867.42330469907,1.7277000000000005,0.014499909654890987,lcogt,0.002686805550183635
58869.3275,1.932999999999998,0.013038404810405297,Swope,0.0010000000038417056
58869.63760689815,1.7776000000000014,0.016278501466658393,lcogt,0.0027074074023403227
58871.303499999995,1.9849999999999994,0.0147648230602334,Swope,0.000999999996565748
58872.3245,2.0380000000000003,0.012529964086141668,Swope,0.000999999996565748
58872.330596151616,1.793899999999999,0.01673264462062113,lcogt,0.0026745023133116774
58874.325,2.0439999999999987,0.05474486277268398,Swope,0.004000000000814907
58875.30794704861,1.8377,0.01672298370506889,lcogt,0.00268650462385267
58876.33961480324,1.845699999999999,0.016910167503605668,lcogt,0.0027012037025997415
58877.426122899305,1.9062000000000001,0.018364453190879385,lcogt,0.002713391208089888
