MJD,COLOR,DCOLOR,INST,MJD_TEST
58849.331999999995,0.9589999999999996,0.015,Swope,0.0020000000004074536
58850.3545,0.9899999999999984,0.013601470508735444,Swope,0.0010000000038417056
58851.321500000005,0.9300000000000015,0.015811388300841896,Swope,0.000999999996565748
58852.307499999995,0.958000000000002,0.016643316977093238,Swope,0.000999999996565748
58853.364499999996,1.0050000000000008,0.016643316977093238,Swope,0.000999999996565748
58869.333,1.4699999999999989,0.024596747752497684,Swope,0.0020000000004074536
58871.31,1.5299999999999976,0.022360679774997897,Swope,0.0020000000004074536
58872.3295,1.5770000000000017,0.025495097567963924,Swope,0.0010000000038417056
58874.3385,1.588000000000001,0.052773099207835045,Swope,0.000999999996565748
58876.2995,1.5450000000000017,0.020124611797498106,Swope,0.0029999999969732016
